title,cuisines,reviews,star rating,restaurant serial number,cuisines_melt,cuisines_all
Salm Bräu,"Austrian, Beer restaurants",6338,4.5,238,cuisine_1,Austrian
Haas & Haas,"Austrian, Cafe",466,4.0,239,cuisine_1,Austrian
To Ellinikon,"Mediterranean, Barbecue",206,4.5,240,cuisine_1,Mediterranean
Alef-Alef Restaurant,"Austrian, Israeli",164,4.5,241,cuisine_1,Austrian
Joseph - Backerei Patisserie Bistro,"Cafe, European",316,4.0,242,cuisine_1,Cafe
Strasser-Brau,"German, Austrian",187,4.5,243,cuisine_1,German
SHOYU Ramen,"Japanese, Asian",187,4.5,244,cuisine_1,Japanese
Café Bel Étage,"Austrian, Cafe",1347,4.0,245,cuisine_1,Austrian
Wild,"German, Austrian",413,4.0,246,cuisine_1,German
Boxwood Restaurant,"Austrian, International",111,4.5,247,cuisine_1,Austrian
Pho Linh,"Asian, Vietnamese",49,5.0,248,cuisine_1,Asian
Paolo Bortolotti,"Dessert, Italian",265,4.5,249,cuisine_1,Dessert
Blaue Bar,"Bar, European",103,4.5,250,cuisine_1,Bar
Veggiezz,"European, Diner",319,4.0,251,cuisine_1,European
Le Viet,"Asian, Vietnamese",171,4.5,252,cuisine_1,Asian
Gasthaus Hansy,Austrian,614,4.0,253,cuisine_1,Austrian
Restaurant Vestibul,"Austrian, European",430,4.5,254,cuisine_1,Austrian
Ströck - Feierabend,"Bakeries, Austrian",297,4.5,255,cuisine_1,Bakeries
Da Capo,"Italian, Pizza",1575,4.0,256,cuisine_1,Italian
Taim - Israeli Streetfood,"Fast Food, Mediterranean",38,5.0,257,cuisine_1,Fast Food
7 Stern Braeu,"Austrian, Beer restaurants",3076,4.0,258,cuisine_1,Austrian
Pizzeria La Spiga,"Italian, Pizza",183,4.5,259,cuisine_1,Italian
Wrenkh,"Healthy, Central European",369,4.0,260,cuisine_1,Healthy
Bettelstudent,"Austrian, Dining bars",789,4.0,261,cuisine_1,Austrian
Roberto American Bar,Bars & Pubs,178,4.5,262,cuisine_1,Bars & Pubs
Der Wiener Deewan,Pakistani,330,4.0,263,cuisine_1,Pakistani
Qero Peruvian Cuisine & Bar,"Peruvian, Latin",211,4.5,264,cuisine_1,Peruvian
Weibel's Wirtshaus,"Austrian, European",587,4.0,265,cuisine_1,Austrian
Amerling Beisl,"Austrian, Bar",549,4.0,266,cuisine_1,Austrian
Restaurant Roth,"Austrian, International",237,4.0,267,cuisine_1,Austrian
Restaurant Odysseus,"Mediterranean, European",190,4.5,268,cuisine_1,Mediterranean
Cafe Little Britain,"Coffee & Tea, Cafe",145,4.5,269,cuisine_1,Coffee & Tea
Burg.ring1,Austrian,437,4.0,270,cuisine_1,Austrian
Sapori d'Italia,"Italian, Pizza",111,4.5,271,cuisine_1,Italian
Konoba,"Seafood, Mediterranean",233,4.5,272,cuisine_1,Seafood
Vienna 1st,"Austrian, International",268,4.0,273,cuisine_1,Austrian
Tichy,Dessert,459,4.5,274,cuisine_1,Dessert
Silberwirt,"German, Austrian",361,4.0,275,cuisine_1,German
Café Museum,"Coffee & Tea, Austrian",1696,4.0,276,cuisine_1,Coffee & Tea
Geschmacks-Tempel,"Austrian, European",58,5.0,277,cuisine_1,Austrian
Restaurant Vienne,"Austrian, European",403,4.0,278,cuisine_1,Austrian
Gasthaus Kopp,Austrian,1267,4.0,279,cuisine_1,Austrian
Heindls Schmarren & Palatschinkenkuchl,"German, Austrian",957,4.0,280,cuisine_1,German
Knoedel Manufaktur,"Austrian, Fast Food",324,4.5,281,cuisine_1,Austrian
